Time,UKQuarterlyHPI,UKEmp,UKUnEmp,UKMonthlyHousePrice,RegCBI,RegCC,BusinessBirths,ConstructionOutput_TNH,ConstructionOutput_ANW,ConstructionOutput_AW,Unemployment,Employment,PublicEMP,WorkforceJobs,Exports,Imports,PayrollEMP,PayrollPayMedian,HousePrice,PMIAC,PMINB,PMIOB,PMICH,PMIPR,PMIEM,HousingRental,PMIFU
Tcode,5,1,1,5,1,1,5,5,5,5,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
lag ,0,2,2,2,1,0,1,2,2,2,2,2,3,3,4,4,0,0,2,0,0,0,0,0,0,0,0
1999,0.00756,71.9,6.2,0.002592811,-99999999,5.2,-99999999,-0.016813499,-0.010313546,-0.008285152,6.8,70.5,-99999999,-0.002,-99999999,-99999999,-99999999,-99999999,0.003781551,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999
1999.25,0.016,71.9,6,0.018038867,-99999999,5,-99999999,0.051152522,0.056467213,0.035636301,6.3,70.5,-99999999,0.001,-99999999,-99999999,-99999999,-99999999,0.036453883,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999
1999.5,0.01435,72.1,5.9,0.024703016,-99999999,4.9,-99999999,0.038845496,0.037066683,0.02485783,5.9,70.8,-99999999,0.001,-99999999,-99999999,-99999999,-99999999,0.009855581,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999
1999.75,0.01345,72.3,5.8,0.010988063,-99999999,4.7,-99999999,-0.07318452,0.000467235,-0.002920619,6.1,71.2,-99999999,0.001,-99999999,-99999999,-99999999,-99999999,0.005268093,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999
2000,0.01745,72.3,5.8,0.010995384,-99999999,4.5,-99999999,0.091377524,-0.020559329,-0.00441809,6.4,70.8,-99999999,0.003,-99999999,-99999999,-99999999,-99999999,0.001584963,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999
2000.25,0.01916,72.5,5.5,0.023041304,-99999999,4.3,-99999999,0.025935734,0.013971854,-0.025294024,6.1,71.8,-99999999,0.003,-99999999,-99999999,-99999999,-99999999,0.05522386,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999
2000.5,-0.00143,72.6,5.3,0.008108112,-99999999,4.1,-99999999,-0.021504119,-0.016426889,0.021129524,5.9,71.9,-99999999,0.001,-99999999,-99999999,-99999999,-99999999,0.022676706,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999
2000.75,0.0037,72.5,5.2,0.012766777,-99999999,4.1,-99999999,-0.004431615,0.009737952,-0.018314498,6.1,71.9,-99999999,-0.003,-99999999,-99999999,-99999999,-99999999,-0.002489178,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999
2001,0.01232,72.6,5.1,-0.002270496,-99999999,4,-99999999,-0.046996563,-0.01718744,0.002796897,5.4,71.5,-99999999,0.005,-99999999,-99999999,-99999999,-99999999,-0.001768241,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999
2001.25,0.01853,72.7,5,0.015405653,-99999999,3.8,-99999999,0.014640526,0.022927098,0.029632679,5.5,71.2,-99999999,0,-99999999,-99999999,-99999999,-99999999,0.057527491,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999
2001.5,0.01658,72.5,5.1,0.015349387,-99999999,3.8,-99999999,0.032356036,-0.001904803,-0.017114361,5.3,71.4,-99999999,0.003,-99999999,-99999999,-99999999,-99999999,0.037475624,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999
2001.75,0.00702,72.6,5.2,-0.008807589,-99999999,3.7,-99999999,-0.01128101,0.00710034,0.005086525,5.1,71.4,-99999999,-0.001,-99999999,-99999999,-99999999,-99999999,0.017763575,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999
2002,0.01305,72.5,5.2,0.02890144,-99999999,3.6,-99999999,0.01128101,0.009290076,0.014911609,5.1,71.3,-99999999,-0.002,-99999999,-99999999,-99999999,-99999999,0.028966474,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999
2002.25,0.0356,72.7,5.2,0.034277673,-99999999,3.6,-99999999,0.050409503,0.053545897,0.049135894,5.3,71.4,-99999999,0.002,-99999999,-99999999,-99999999,-99999999,0.091126231,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999
2002.5,0.02971,72.6,5.3,0.023399454,-99999999,3.5,-99999999,0.057495894,0.016345274,0.018344351,5.5,71.4,-99999999,0.003,-99999999,-99999999,-99999999,-99999999,0.057416564,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999
2002.75,0.01958,72.9,5.1,0.021853652,-99999999,3.5,-99999999,-0.001740662,-0.005512425,0.021599204,5,71.5,-99999999,0.001,-99999999,-99999999,-99999999,-99999999,0.057905118,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999
2003,0.01472,72.7,5.2,0.001395325,-99999999,3.4,-99999999,0.050958684,0.006294233,-0.014763624,5.3,71.8,-99999999,0.001,-99999999,-99999999,-99999999,-99999999,0.034648113,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999
2003.25,0.01928,72.9,4.9,0.008279097,-99999999,3.4,-99999999,0.019709589,0.019101341,0.022191611,5,72.3,-99999999,0.005,-99999999,-99999999,-99999999,-99999999,0.084724384,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999
2003.5,0.01491,72.8,5,0.013788285,-99999999,3.2,-99999999,0.0684265,0.056025327,0.039148156,4.8,72.5,-99999999,0.004,-99999999,-99999999,-99999999,-99999999,0.052104608,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999
2003.75,0.01365,72.8,4.9,0.011111225,-99999999,3.1,-99999999,0.057991947,0.056016381,0.033384807,4.9,72.2,-99999999,0.001,-99999999,-99999999,-99999999,-99999999,0.058827619,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999
2004,0.02004,73,4.8,-0.000645791,-99999999,2.9,-99999999,0.082492275,0.019480886,0.055330327,4.8,72.4,-99999999,0.006,-99999999,-99999999,-99999999,-99999999,0.035972675,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999
2004.25,0.02479,72.9,4.8,0.032069262,-99999999,2.8,-99999999,-0.023532001,-0.005277708,-0.038896635,4.5,72.5,-99999999,0.003,-99999999,-99999999,-99999999,-99999999,0.110313619,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999
2004.5,0.01444,72.9,4.7,0.013300292,-99999999,2.7,-99999999,0,0.005001527,0.007621027,4.5,72.5,-99999999,0.002,-99999999,-99999999,-99999999,-99999999,0.050422423,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999
2004.75,-0.00289,73,4.7,-0.000582555,-99999999,2.7,-99999999,-0.008793665,0.006580345,0.006583116,4.6,72.6,-99999999,0.003,-99999999,-99999999,-99999999,-99999999,0.01518853,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999
2005,0.00093,73.1,4.7,0.002839061,-99999999,2.7,-99999999,0.010723865,0.008888197,0.022630147,4.3,72.8,-99999999,-0.004,-99999999,-99999999,-99999999,-99999999,0.010513331,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999
2005.25,0.01317,72.9,4.8,0.014203269,-99999999,2.9,-99999999,0.0216018,-0.003748558,-0.009932142,4.8,72.5,-99999999,0.002,-99999999,-99999999,-99999999,-99999999,0.037932875,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,0.007493826,-99999999
2005.5,0.00037,73,4.7,0.0066422,-99999999,3,-99999999,-0.029374615,-0.028620736,-0.01597709,4.5,72.8,-99999999,0,-99999999,-99999999,-99999999,-99999999,0.023012714,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,0.008019922,-99999999
2005.75,-0.00066,72.7,5.1,0.002789834,-99999999,3.2,-99999999,-0.00295105,-0.003460532,-0.006076723,5.5,72.5,-99999999,0,-99999999,-99999999,-99999999,-99999999,0.008636514,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,0.006546042,-99999999
2006,0.00802,72.9,5.2,0.003567892,-99999999,3.3,-99999999,0.029568231,0.017311644,0.009174285,5.4,72.6,-99999999,0.002,-99999999,-99999999,-99999999,-99999999,0.00905283,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,0.01081352,-99999999
2006.25,0.01259,72.8,5.5,0.01753029,-99999999,3.3,-99999999,0,0.006352274,0.002534448,5.7,72.3,-99999999,0.001,-99999999,-99999999,-99999999,-99999999,0.036937695,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,0.003892474,-99999999
2006.5,0.00892,72.8,5.5,0.011602903,-99999999,3.3,-99999999,0.032842805,0.026328939,0.015426655,5.9,71.5,-99999999,0.002,-99999999,-99999999,-99999999,-99999999,0.025301518,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,0.011536913,-99999999
2006.75,0.00919,72.7,5.5,0.010141098,-99999999,3.3,-99999999,0.005099407,0.016457312,0.01875189,6,71.8,-99999999,0,-99999999,-99999999,-99999999,-99999999,0.021724489,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,0.008750643,-99999999
